guid,title,pubDate,description,link,media
b'https://www.hindustantimes.com/india-news/pakistan-says-it-will-take-kashmir-issue-to-un-security-council/story-DTgt7a7aPL4dzSZ6FKCACP.html',"b'Pakistan expels Indian envoy, suspends trade over Kashmir'","b'Wed, 07 Aug 2019 03:11:53 GMT '","b'Neighbours China and Pakistan, which both claim parts of the region, have voiced fierce opposition to India\xe2\x80\x99s move dropping a constitutional provision that had allowed the country\xe2\x80\x99s only Muslim-majority state to make its own laws.'",b'https://www.hindustantimes.com/india-news/pakistan-says-it-will-take-kashmir-issue-to-un-security-council/story-DTgt7a7aPL4dzSZ6FKCACP.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/07/Pictures/_eb82fbc8-b919-11e9-8601-ae4f2ce17a49.png
b'https://www.hindustantimes.com/india-news/it-s-in-your-hands-nsa-ajit-doval-tells-security-personnel-in-kashmir/story-tgvAI7cLeIPO7WM4pEt2DK.html',"b""'It's in your hands': NSA Ajit Doval tells security personnel in Kashmir""","b'Wed, 07 Aug 2019 03:10:54 GMT '",b'Doval\xe2\x80\x99s visit came in the context of the internal security establishment\xe2\x80\x99s assessment that there could be attempts to incite street protests besides a spike in terror attacks.',b'https://www.hindustantimes.com/india-news/it-s-in-your-hands-nsa-ajit-doval-tells-security-personnel-in-kashmir/story-tgvAI7cLeIPO7WM4pEt2DK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/07/Pictures/_e7fbd482-b920-11e9-8601-ae4f2ce17a49.png
b'https://www.hindustantimes.com/it-s-viral/upward-lightening-on-guatemela-mountain-mesmerizes-social-media/story-3RIWYhtxscugCffNwQrxFO.html',b'Upward lightning on Guatemala mountain mesmerises social media',"b'Wed, 07 Aug 2019 03:03:22 GMT '",b'Upward lightning emerges from a tall object and goes upward to the  clouds. In this case-it\xe2\x80\x99s the mountain in Guatemala. ',b'https://www.hindustantimes.com/it-s-viral/upward-lightening-on-guatemela-mountain-mesmerizes-social-media/story-3RIWYhtxscugCffNwQrxFO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/07/Pictures/_e902bb4a-b8d8-11e9-a203-e6c4ad816de5.jpg
b'https://www.hindustantimes.com/india-news/article-370-gone-maharashtra-plans-to-open-resorts-in-j-k-and-ladakh/story-n5OPTAq7D2tIF9itCjVWeK.html',"b'Article 370 gone, Maharashtra plans to open resorts in J-K and Ladakh'","b'Wed, 07 Aug 2019 02:36:52 GMT '","b'With the abrogation of Article 370 and Article 35A, State tourism minister Jaykumar Rawal said that the state government has taken in-principle decision to invest in both Jammu and Kashmir and Ladakh.'",b'https://www.hindustantimes.com/india-news/article-370-gone-maharashtra-plans-to-open-resorts-in-j-k-and-ladakh/story-n5OPTAq7D2tIF9itCjVWeK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/07/Pictures/india-labour-road_1adc3296-b91e-11e9-a203-e6c4ad816de5.jpg
b'https://www.hindustantimes.com/cricket/india-vs-west-indies-1st-odi-virat-kohli-on-verge-of-breaking-multiple-records-against-west-indies/story-xq5ngo7ZrbCHCjyNluWhdN.html',b'India vs West Indies 1st ODI:&thinsp;Virat Kohli on verge of breaking multiple records...',"b'Wed, 07 Aug 2019 02:25:08 GMT '",b'Virat Kohli is just 19 runs away from becoming the batsman with the most ODI\xe2\x80\x89runs against West Indies. Kohli (1912 runs) is in the second position with Pakistan legend Javed Miandad leading the charts with 1930 runs.',b'https://www.hindustantimes.com/cricket/india-vs-west-indies-1st-odi-virat-kohli-on-verge-of-breaking-multiple-records-against-west-indies/story-xq5ngo7ZrbCHCjyNluWhdN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/07/Pictures/zealand-photo-final-cricket-world-india-semi_7ca1d7d8-b91e-11e9-8601-ae4f2ce17a49.jpg
b'https://www.hindustantimes.com/india-news/mumbai-could-be-jaish-s-target-says-indian-intelligence/story-II8TT1NunZswVptHkqJOxH.html',"b""Mumbai could be Jaish's target, says Indian intelligence""","b'Wed, 07 Aug 2019 12:52:56 GMT '","b'After scrapping of Article 370, Pakistan-based terror groups may target security forces in Kashmir and the hinterland.'",b'https://www.hindustantimes.com/india-news/mumbai-could-be-jaish-s-target-says-indian-intelligence/story-II8TT1NunZswVptHkqJOxH.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/07/Pictures/militants-vs-militias-in-pakistan_e40832de-b90d-11e9-98cb-e738ad509720.jpg
b'https://www.hindustantimes.com/editorials/sushma-swaraj-a-remarkable-mp-a-distinct-eam-a-fighter-india-will-miss-her/story-3FmKFZ6DeybXUfzoiMfipL.html',"b'Sushma Swaraj: A remarkable MP, a distinct EAM, India will miss her'","b'Wed, 07 Aug 2019 12:20:07 GMT '","b'A brilliant bilingual speaker, Swaraj enjoyed the cut and thrust of parliamentary debates. As leader of the Opposition in the Lok Sabha between 2009 and 2014, she effectively put forth her party\xe2\x80\x99s position and played a key role in discrediting the United Progressive Alliance government, which eventually paved the way for the BJP\xe2\x80\x99s victory in 2014.'",b'https://www.hindustantimes.com/editorials/sushma-swaraj-a-remarkable-mp-a-distinct-eam-a-fighter-india-will-miss-her/story-3FmKFZ6DeybXUfzoiMfipL.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/07/Pictures/sushma-swaraj-passes-away_12f34baa-b8dd-11e9-8601-ae4f2ce17a49.jpg
b'https://www.hindustantimes.com/editorials/cutting-policy-rates-won-t-revive-the-economy/story-XXXunFAd7klgF5TsHFqBqN.html',"b""Cutting policy rates won't revive the economy""","b'Wed, 07 Aug 2019 12:08:04 GMT '",b'Economic recovery will only happen through revival in aggregate demand ',b'https://www.hindustantimes.com/editorials/cutting-policy-rates-won-t-revive-the-economy/story-XXXunFAd7klgF5TsHFqBqN.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/07/Pictures/file-photo-photo-mint-aniruddha-chowdhury-mumbai_4164c872-b8da-11e9-8601-ae4f2ce17a49.jpg
b'https://www.hindustantimes.com/world-news/hordes-of-tardigrades-earth-s-toughest-creatures-may-now-be-living-on-moon/story-hGHFKBPfsAHK99rnhAWT4O.html',"b""Hordes of tardigrades, Earth's toughest creatures, may now be living on Moon""","b'Wed, 07 Aug 2019 11:54:32 GMT '","b'Tardigrades can withstand extreme radiation, sizzling heat, the coldest temperatures of the universe, and decades without food.'",b'https://www.hindustantimes.com/world-news/hordes-of-tardigrades-earth-s-toughest-creatures-may-now-be-living-on-moon/story-hGHFKBPfsAHK99rnhAWT4O.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/07/Pictures/_664931ce-b8f7-11e9-8601-ae4f2ce17a49.jpg
b'https://www.hindustantimes.com/india-news/marry-fair-kashmiri-girl-now-bjp-mla-after-on-article-370-repeal/story-PN1M8vLCWdizTpGFuykWyI.html',"b""'Marry fair Kashmiri women now': BJP MLA after Article 370 repeal""","b'Wed, 07 Aug 2019 08:24:04 GMT '","b'In a video clip that has gone viral on the social media, the lawmaker from Khatauli was seen speaking at a function organized on Tuesday to celebrate the revoking of the special status to Jammu and Kashmir.'",b'https://www.hindustantimes.com/india-news/marry-fair-kashmiri-girl-now-bjp-mla-after-on-article-370-repeal/story-PN1M8vLCWdizTpGFuykWyI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/07/Pictures/_a5a0a0ec-b8e7-11e9-8601-ae4f2ce17a49.png
b'https://www.hindustantimes.com/analysis/the-supremacy-of-the-indian-state-and-parliament-opinion/story-NwMHMsKjfRGliutAkNahzO.html',b'The supremacy of the Indian State and Parliament | Opinion',"b'Tue, 06 Aug 2019 04:52:50 GMT '",b'The opposition\xe2\x80\x99s criticisms do not hold. The government\xe2\x80\x99s move is legally sound. Kashmir is an internal affair. ',b'https://www.hindustantimes.com/analysis/the-supremacy-of-the-indian-state-and-parliament-opinion/story-NwMHMsKjfRGliutAkNahzO.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/06/Pictures/dominion-prime-minister-sardar-vallabhai-patel-deputy_932be9fc-b857-11e9-8601-ae4f2ce17a49.jpg
b'https://www.hindustantimes.com/analysis/india-has-succeeded-in-outflanking-pakistan-opinion/story-jlhras68bTpExTD1OomVJK.html',b'India has succeeded in outflanking Pakistan | Opinion',"b'Tue, 06 Aug 2019 02:58:27 GMT '",b'There is now no scope to discuss the issue of Kashmir with Islamabad in any \xe2\x80\x9ccomprehensive dialogue\xe2\x80\x9d',b'https://www.hindustantimes.com/analysis/india-has-succeeded-in-outflanking-pakistan-opinion/story-jlhras68bTpExTD1OomVJK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/05/Pictures/restrictions-night-curfews-imposed-in-several-parts_af7add50-b76e-11e9-98cb-e738ad509720.jpg
b'https://www.hindustantimes.com/analysis/modi-redraws-the-line-etches-history-with-mission-kashmir/story-3puBtoH5jESsx8Rr2YoeEI.html',"b'Modi redraws the line, etches history with Mission Kashmir'","b'Mon, 05 Aug 2019 03:46:08 GMT '",b'New geo-political dynamics weighed in the Modi government\xe2\x80\x99s strategic calculus pegged to a distinct possibility of pro-Pakistan Taliban gaining ascendancy in Kabul and its impact on Kashmir',b'https://www.hindustantimes.com/analysis/modi-redraws-the-line-etches-history-with-mission-kashmir/story-3puBtoH5jESsx8Rr2YoeEI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/05/Pictures/statue-celebrates-supporter-put-tilak-modi-the_315dbc7a-b797-11e9-8601-ae4f2ce17a49.jpg
b'https://www.hindustantimes.com/analysis/it-s-not-a-surgical-strike-it-s-an-open-heart-surgery-and-there-will-be-bleeding/story-5uc96VybDNZTJbgN3LA6eI.html',"b""It's not a surgical strike. It's an open-heart surgery, and there will be bleed...""","b'Mon, 05 Aug 2019 03:31:53 GMT '",b'The BJP thinks that its radical steps are a magic bullet for all of Kashmir\xe2\x80\x99s ills. This is an incorrect assessment ',b'https://www.hindustantimes.com/analysis/it-s-not-a-surgical-strike-it-s-an-open-heart-surgery-and-there-will-be-bleeding/story-5uc96VybDNZTJbgN3LA6eI.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/05/Pictures/restrictions-night-curfews-imposed-in-several-parts_84c997ce-b780-11e9-8601-ae4f2ce17a49.jpg
b'https://www.hindustantimes.com/more-lifestyle/happy-space-an-interview-with-the-editor-of-new-book-single-by-choice/story-5Ix5JFiZNkCVxugWLzYkGK.html',"b'Happy space: An interview with the editor of new book, Single by Choice'","b'Sat, 03 Aug 2019 01:21:17 GMT '","b'Kalpana Sharma talks choices, change, and definitions of family.'",b'https://www.hindustantimes.com/more-lifestyle/happy-space-an-interview-with-the-editor-of-new-book-single-by-choice/story-5Ix5JFiZNkCVxugWLzYkGK.html',https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2019/08/02/Pictures/04-08-wk-delh-1-vi_0d1787da-b51f-11e9-8cbf-78d1c56f2fe2.jpg
